statnm,statid,chgerid,chgertype,addrdoro,lat,lng,usetime,stat
종묘 공영주차장,11110003,01,03,서울특별시 종로구 종로 157,37.571076,126.99588,24시간 이용가능,2
세종로 공영주차장,11110006,01,06,서울특별시 종로구 세종대로 189,37.573611,126.976011,24시간 이용가능,3
그랜드앰배서더 서울,11140018,01,06,서울특별시 중구 동호로 287,37.559352,127.00235,24시간 이용가능,5
한강진역 공영주차장,11170004,01,03,서울특별시 용산구 한남동 산10-84,37.540085,127.002804,24시간 이용가능,2
마장동사무소 앞(공중전화부스),11200006,01,06,서울특별시 성동구 마장동 808,37.5660935,127.0455256,24시간 이용가능,2
청량리롯데백화점,11230005,01,03,서울특별시 동대문구 왕산로 214,37.58065,127.047938,24시간 이용가능,2
이마트 이문점,11230006,01,03,서울특별시 동대문구 이문로 136,37.598454,127.061848,10:00~24:00,2
홈플러스 면목점,11260003,01,03,서울특별시 중랑구 사가정로 332,37.580612,127.08154,10:00~24:00,4
홈플러스 월곡점,11290003,02,03,서울특별시 성북구 화랑로 76,37.60208293,127.04002398,10:00~24:00,2
성북벤처빌딩 공영주차장,11290006,01,06,서울특별시 성북구 장위2동 65-154,37.60936,127.053263,24시간 이용가능,2
롯데마트 삼양점,11305002,01,03,서울특별시 강북구 삼양로 247,37.625405,127.017897,10:00~24:00,2
빅마켓 도봉점,11320004,01,03,서울특별시 도봉구 마들로 645,37.667567,127.04549,10:00~22:00,2
이마트 은평점,11380001,01,03,서울특별시 은평구 은평로 111,37.60047527,126.92047408,10:00~24:00,2
구파발역 환승주차장,11380002,01,03,서울특별시 은평구 진관동 66-30,37.638403,126.919044,24시간 이용가능,2
홈플러스 월드컵점,11440006,01,03,서울특별시 마포구 월드컵로 240,37.566685,126.898753,08:00~24:00,2
시설관리공단 마포유수지주차장,11440007,01,03,서울특별시 마포구 마포대로1길 19,37.539442,126.943054,24시간 이용가능,2
노을공원,11440017,01,06,서울특별시 마포구 상암동 482-116 ,37.569588,126.879244,24시간 이용가능,2
홈플러스 목동점,11470001,01,03,서울특별시 양천구 목동서로 170,37.52992611,126.87364033,10:00~24:00,2
해맞이공영주차장,11470003,01,06,서울특별시 양천구 지양로 47,37.520062,126.834854,24시간 이용가능,1
홈플러스 가양점,11500004,01,03,서울특별시 강서구 양천로 431,37.56401856,126.85059572,10:00~24:00,2
롯데마트 김포공항점,11500008,01,06,서울특별시 강서구 하늘길 77,37.563453,126.803539,24시간 이용가능,2
메이필드호텔,11500009,01,06,서울특별시 강서구 방화대로 94,37.546851,126.818613,24시간 이용가능,2
롯데마트 구로점,11530002,02,03,서울특별시 구로구 경인로 482,37.49797486,126.87234534,10:00~24:00,1
천왕역 환승주차장,11530007,01,03,서울특별시 구로구 오류동 174-10,37.487234,126.839153,24시간 이용가능,1
구로리공원 앞(공중전화부스),11530008,01,06,서울특별시 구로구 구로동 136-14,37.4912466,126.8919514,24시간 이용가능,2
홈플러스 시흥점,11545001,01,03,서울특별시 금천구 시흥대로 201,37.45222814,126.90093936,10:00~24:00,1
독산1동 공영주차장,11545005,01,03,서울특별시 금천구 범안로12가길 65,37.464893,126.89479,24시간 이용가능,2
제일모직아울렛 건너편(공중전화부스),11545006,01,06,서울특별시 금천구 가산동 239-27,37.4744454,126.8867302,24시간 이용가능,2
영등포구 대신시장(공중전화부스),11560005,01,06,서울특별시 영등포구 신길1동 116-15,37.5113404,126.9176919,24시간 이용가능,2
현대차 남부서비스센터,11590006,01,03,서울특별시 동작구 노량진로 53,37.514185,126.931894,24시간 이용가능,2
동작주차공원 공영주차장,11590008,01,06,서울특별시 동작구 현충로 213,37.503803,126.976775,24시간 이용가능,2
조원동 제1공영주차장,11620007,01,06,서울특별시 관악구 신림동 571-6,37.481069,126.905703,24시간 이용가능,2
사당역 공영주차장,11650003,02,03,서울특별시 서초구 과천대로 950-18,37.475256,126.982638,24시간 이용가능,2
이마트 양재점,11650005,01,03,서울특별시 서초구 매헌로 16,37.463293,127.036812,09:00~24:00,2
수서역 공영주차장,11680001,02,03,서울특별시 강남구 수서동 735,37.487569,127.101016,24시간 이용가능,2
학여울역 공영주차장,11680002,01,03,서울특별시 강남구 남부순환로 3104,37.496722,127.070444,05:00~익일01:00,2
개포동공원 공영주차장,11680012,01,06,서울특별시 강남구 개포로 509,37.489757,127.068269,24시간 이용가능,2
탄천제2호 공영주차장,11680013,01,06,서울특별시 강남구 일원동 4-49,37.493865,127.08723,24시간 이용가능,2
롯데마트 잠실점,11710001,02,03,서울특별시 송파구 올림픽로 240,37.511818,127.096321,10:00~24:00,5
이마트 명일점,11740004,01,03,서울특별시 강동구 고덕로 276,37.554606,127.155966,10:00~24:00,2
홈플러스 영도점,26200001,01,01,부산광역시 영도구 대교로14번길 57,35.095906,129.04424,09:00~24:00,2
온천장역 공영주차장,26260002,01,06,부산광역시 금정구 오시게로 20,35.21929,129.08605,24시간 이용가능,2
이마트 문현점,26290002,01,03,부산광역시 남구 전포대로91번길 47,35.144356,129.064256,10:00~24:00,2
하단역 공영주차장,26380002,01,06,부산광역시 사하구 하신중앙로 313,35.106166,128.96576,24시간 이용가능,2
이마트 금정점,26410001,01,01,부산광역시 금정구 중앙대로1841번길 24,35.24975906,129.0901501,10:00~24:00,5
남산역 공영주차장,26410002,01,06,부산광역시 금정구 중앙대로 2030,35.265513,129.092746,24시간 이용가능,2
부산환경공단 명지사업소,26440004,01,06,부산광역시 강서구 명지오션시티13로 12-11,35.090537,128.898577,24시간 이용가능,2
홈플러스 아시아드점,26470003,01,03,부산광역시 연제구 종합운동장로 7,35.19104755,129.06250571,09:00~24:00,5
이마트 연제점,26470004,01,03,부산광역시 연제구 연수로 89,35.176147,129.081345,10:00~24:00,3
학장천 공영주차장,26530004,01,06,부산광역시 사상구 가야대로 309,35.1485,129.000724,24시간 이용가능,2
장안휴게소(울산방향),26710001,01,06,부산광역시 기장군 장안읍 동해고속도로 26,35.3820817,129.248685,24시간 이용가능,2
기장군청,26710003,01,06,부산광역시 기장군 기장읍 기장대로 560,35.2443,129.2232,24시간 이용가능,2
성명맨션 앞(공중전화부스),27140005,01,06,대구광역시 동구 신천3동 146-15,35.8683691,128.6232879,24시간 이용가능,2
망우당공원 택시쉼터,27140006,01,06,대구광역시 동구 효동로2길 93,35.8764164,128.6564477,24시간 이용가능,2
원평치안센터(공중전화부스),27170002,01,06,대구광역시 서구 평리3동 729-2,35.8793788,128.561858,24시간 이용가능,2
만평네거리 북편 공영주차장,27230005,01,06,대구광역시 북구 팔달로 105,35.8900805,128.562145,24시간 이용가능,1
대구교통연수원,27260005,01,06,대구광역시 수성구 무학로 203,35.8302242,128.6304832,24시간 이용가능,2
성서국민체육센터,27290005,01,06,대구광역시 달서구 선원로 133,35.8598646,128.5068616,24시간 이용가능,2
홀마트 앞 (공중전화부스),27710003,01,06,대구광역시 달성군 논공읍 논공로 749,35.7290522,128.445777,24시간 이용가능,1
인천공항 정부합동청사,28110004,01,03,인천광역시 중구 공항로424번길 47,37.440993,126.461521,24시간 이용가능,1
롯데마트 영종도점,28110007,01,03,인천광역시 중구 흰바위로 51,37.492675,126.491194,10:00~22:00,2
차이나타운 주차장,28110008,01,06,인천광역시 중구 신포로27번길 80,37.4761432,126.6183817,24시간 이용가능,2
송림체육관,28140001,01,06,인천광역시 동구 염전로 30,37.4855897,126.6473026,24시간 이용가능,2
홈플러스 인하점,28170003,01,03,인천광역시 미추홀구 소성로 6,37.44690295,126.65056482,09:00~24:00,2
이마트 연수점,28185004,01,03,인천광역시 연수구 경원대로 184,37.4047181,126.68192511,10:00~24:00,2
홈플러스 구월점,28200002,01,03,인천광역시 남동구 예술로 198,37.45195982,126.70177106,09:00~24:00,2
계양구 공영주차장,28245002,01,06,인천광역시 계양구 봉오대로 679-1,37.530611,126.724568,24시간 이용가능,2
인천서구청 제1주차장,28260007,01,03,인천광역시 서구 탁옥로51번길 26,37.546063,126.675578,24시간 이용가능,1
홈플러스 가좌점,28260008,01,03,인천광역시 서구 가정로151번길 11,37.497573,126.670692,10:00~23:30,2
소태역 환승주차장,29110002,01,06,광주광역시 동구 남문로 575,35.122112,126.932263,24시간 이용가능,1
광주시청,29140004,12,06,광주광역시 서구 내방로 111,35.160317,126.849815,24시간 이용가능,2
광주시청,29140004,11,06,광주광역시 서구 내방로 111,35.160317,126.849815,24시간 이용가능,2
송암동주민센터,29155001,01,06,광주광역시 남구 송암로 66,35.111648,126.877215,24시간 이용가능,1
광주문화예술회관,29170003,01,03,광주광역시 북구 북문대로 60,35.177718,126.881703,24시간 이용가능,2
중소기업진흥공단 호남연수원,29170004,01,06,광주광역시 북구 동문대로456번길 40,35.203949,126.937339,24시간 이용가능,2
홈플러스 동대전점,30110001,01,03,대전광역시 동구 한밭대로 1282,36.353803,127.437375,10:00~24:00,2
대전월드컵경기장,30200003,01,06,대전광역시 유성구 월드컵대로 32,36.363604,127.32591,24시간 이용가능,2
울산 중구 동천체육관,31110002,01,06,울산광역시 중구 염포로 85,35.561792,129.352073,24시간 이용가능,2
울산 동구 전하체육센터,31170002,01,06,울산광역시 동구 봉수로 285,35.512571,129.422104,24시간 이용가능,5
울산시 북구청,31200001,02,06,울산광역시 북구 연암동 산업로 1010 북구청,35.582734,129.360909,24시간 이용가능,2
농소2동 주민센터,31200002,01,06,울산광역시 북구 찬샘1길 24,35.638203,129.3480953,24시간 이용가능,2
울산 울주군 서생면사무소,31710004,01,06,울산광역시 울주군 서생면 해맞이로 894,35.349902,129.32604,24시간 이용가능,2
첫마을 BRT 환승주차장 A,36110001,01,06,세종특별자치시 나성남로 7-7 BRT환승센터 B주차장 B1 (나성동 531),36.482178,127.260583,24시간 이용가능,2
첫마을 BRT 환승주차장 B,36110002,01,06,세종특별자치시 나성남로 7-7 BRT환승센터 B주차장 B1 (나성동 778),36.481515,127.262794,24시간 이용가능,4
홈플러스 동수원점,41110003,01,03,경기도 수원시 팔달구 효원로 257,37.26286532,127.02963007,10:00~24:00,2
이마트 서수원점,41110007,01,03,경기도 수원시 권선구 수인로 291,37.282506,126.970137,10:00~24:00,2
장안구청,41111001,01,06,경기도 수원시 장안구 송원로 101,37.304438,127.010121,24시간 이용가능,2
수원화성박물관,41115001,01,06,경기도 수원시 팔달구 창룡대로 21,37.2831563,127.0193734,24시간 이용가능,2
롯데마트 영통점,41117001,01,06,경기도 수원시 영통구 봉영로 1579,37.252726,127.071649,24시간 이용가능,2
이마트 성남점,41130001,01,03,경기도 성남시 수정구 수정로 201,37.44396711,127.14108755,10:00~22:00,2
성남시청,41130002,05,06,경기도 성남시 중원구 성남대로 997,37.420017,127.126649,24시간 이용가능,2
서면사무소,44770001,01,06,충청남도 서천군 서면 서인로 761,36.15276,126.549804,24시간 이용가능,5
동양컴퓨터학원 앞(공중전화부스),41133002,01,06,경기도 성남시 중원구 중앙동 1175,37.4398788,127.1455762,24시간 이용가능,2
율동자연공원 B주차장,41135001,01,06,경기도 성남시 분당구 서현로 459,37.372759,127.147019,24시간 이용가능,3
성남 맛고을 주차장,41135002,01,06,경기도 성남시 분당구 야탑로 111번길 12-14,37.4119752,127.1320774,24시간 이용가능,1
하나로마트 성남점,41135003,01,06,경기도 성남시 분당구 성남대로 43번길 11,37.3378677,127.1086182,24시간 이용가능,2
홈플러스 의정부점,41150004,01,03,경기도 의정부시 청사로 38,37.75264066,127.07132022,10:00~23:40,2
홈플러스 안양점,41170001,01,03,경기도 안양시 동안구 엘에스로 92,37.370042,126.953179,09:00~24:00,2
